source,source_url,fetched_at,page_sha256,model_year,title_prefix,trim_raw,engine_cc,official_price,market_price,effective_date,page_updated_label,row_type
ContactCars,https://www.contactcars.com/en/new-cars/mg-hs/year-2026,"Fri, 25 Sep 2026 13:00:33 GMT",331a3cd852dbcfc0b864859b13e3b7b5df81afe9804c9a62984808228a98956b,2026,,HEV,,"1,625,000","1,640,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/mitsubishi-eclipse/year-2026,"Fri, 25 Sep 2026 13:00:35 GMT",e2492b44689532fc847eff8dc64040f44904102909034da65403417ceef63946,2026,,Insport,,Unavailable,Unavailable,,,
ContactCars,https://www.contactcars.com/en/new-cars/mitsubishi-eclipse/year-2026,"Fri, 25 Sep 2026 13:00:35 GMT",e2492b44689532fc847eff8dc64040f44904102909034da65403417ceef63946,2026,,Insport Plus,,Unavailable,Unavailable,,,
ContactCars,https://www.contactcars.com/en/new-cars/mitsubishi-eclipse/year-2026,"Fri, 25 Sep 2026 13:00:35 GMT",e2492b44689532fc847eff8dc64040f44904102909034da65403417ceef63946,2026,,Inspire Highline,,"1,550,000","1,700,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/mitsubishi-eclipse/year-2026,"Fri, 25 Sep 2026 13:00:35 GMT",e2492b44689532fc847eff8dc64040f44904102909034da65403417ceef63946,2026,,Instyle Top Line,,"1,610,000","1,610,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/mitsubishi-eclipse/year-2026,"Fri, 25 Sep 2026 13:00:35 GMT",e2492b44689532fc847eff8dc64040f44904102909034da65403417ceef63946,2026,,Infinity Premium Line AWD,,"1,690,000","1,740,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/nissan-qashqai/year-2027,"Fri, 25 Sep 2026 13:00:36 GMT",73d70bd5e0b639eb823b426944733b211a6e7af591bb8bf9240acc9546a7d8a5,2027,,N-connecta,,"1,555,000","1,580,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/nissan-qashqai/year-2027,"Fri, 25 Sep 2026 13:00:36 GMT",73d70bd5e0b639eb823b426944733b211a6e7af591bb8bf9240acc9546a7d8a5,2027,,N-connecta Plus,,"1,757,000","1,760,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/nissan-qashqai/year-2027,"Fri, 25 Sep 2026 13:00:36 GMT",73d70bd5e0b639eb823b426944733b211a6e7af591bb8bf9240acc9546a7d8a5,2027,,N-connecta+ 2T,,"1,777,000","1,800,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/nissan-qashqai/year-2027,"Fri, 25 Sep 2026 13:00:36 GMT",73d70bd5e0b639eb823b426944733b211a6e7af591bb8bf9240acc9546a7d8a5,2027,,Tekna 2T,,"1,888,000","1,888,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/nissan-qashqai/year-2027,"Fri, 25 Sep 2026 13:00:36 GMT",73d70bd5e0b639eb823b426944733b211a6e7af591bb8bf9240acc9546a7d8a5,2027,,N-Design e-PWR,,"1,999,000",Unavailable,,,
ContactCars,https://www.contactcars.com/en/new-cars/nissan-qashqai/year-2027,"Fri, 25 Sep 2026 13:00:36 GMT",73d70bd5e0b639eb823b426944733b211a6e7af591bb8bf9240acc9546a7d8a5,2027,,Tekna Plus 4WD,,"2,068,000",Unavailable,,,
ContactCars,https://www.contactcars.com/en/new-cars/opel-grand_land/year-2026,"Fri, 25 Sep 2026 13:00:39 GMT",7e4a6ba252c1bb90f9bb37a36e400d4297f70b34c57a8d292fe1e844954c4268,2026,,Highline Plus,,"1,850,000","1,860,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/opel-grand_land/year-2026,"Fri, 25 Sep 2026 13:00:39 GMT",7e4a6ba252c1bb90f9bb37a36e400d4297f70b34c57a8d292fe1e844954c4268,2026,,Topline,,"1,950,000","2,100,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/opel-grand_land/year-2026,"Fri, 25 Sep 2026 13:00:39 GMT",7e4a6ba252c1bb90f9bb37a36e400d4297f70b34c57a8d292fe1e844954c4268,2026,,Topline Plus,,"2,100,000","2,100,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/peugeot-3008/year-2027,"Fri, 25 Sep 2026 13:00:40 GMT",bffd88f164805fa1fa3eb8547c239d776793273682d9171a3c38dc6b0c99f254,2027,,Allure,,"2,099,990","2,200,000",,,
