model_id,model_year,trim_key,source,price_type,change,prev_snapshot,prev_value,prev_status,latest_snapshot,latest_value,latest_status,delta_egp,series
m_000002,2026,othertrims,contactcars,official,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000002,2026,redline,contactcars,official,UNCHANGED,S4_2026-09-25,1950000,OK,S5_2026-09-25,1950000,OK,,S0_2026-09-10=1950000 S1_2026-09-25=1950000 S2_2026-09-25=1950000 S3_2026-09-25=1950000 S4_2026-09-25=1950000 S5_2026-09-25=1950000
m_000002,2026,redlinenpack,contactcars,official,UNCHANGED,S4_2026-09-25,2025000,OK,S5_2026-09-25,2025000,OK,,S0_2026-09-10=2025000 S1_2026-09-25=2025000 S2_2026-09-25=2025000 S3_2026-09-25=2025000 S4_2026-09-25=2025000 S5_2026-09-25=2025000
m_000002,2026,shadow,contactcars,official,UNCHANGED,S4_2026-09-25,1700000,OK,S5_2026-09-25,1700000,OK,,S0_2026-09-10=1700000 S1_2026-09-25=1700000 S2_2026-09-25=1700000 S3_2026-09-25=1700000 S4_2026-09-25=1700000 S5_2026-09-25=1700000
m_000002,2027,blackdiamond,contactcars,official,UNCHANGED,S4_2026-09-25,2300000,OK,S5_2026-09-25,2300000,OK,,S0_2026-09-10=2300000 S1_2026-09-25=2300000 S2_2026-09-25=2300000 S3_2026-09-25=2300000 S4_2026-09-25=2300000 S5_2026-09-25=2300000
m_000002,2027,blaze,contactcars,official,UNCHANGED,S4_2026-09-25,1950000,OK,S5_2026-09-25,1950000,OK,,S0_2026-09-10=1950000 S1_2026-09-25=1950000 S2_2026-09-25=1950000 S3_2026-09-25=1950000 S4_2026-09-25=1950000 S5_2026-09-25=1950000
m_000002,2027,night,contactcars,official,UNCHANGED,S4_2026-09-25,2200000,OK,S5_2026-09-25,2200000,OK,,S0_2026-09-10=2200000 S1_2026-09-25=2200000 S2_2026-09-25=2200000 S3_2026-09-25=2200000 S4_2026-09-25=2200000 S5_2026-09-25=2200000
m_000002,2027,nlineawd,contactcars,official,UNCHANGED,S4_2026-09-25,2400000,OK,S5_2026-09-25,2400000,OK,,S0_2026-09-10=2400000 S1_2026-09-25=2400000 S2_2026-09-25=2400000 S3_2026-09-25=2400000 S4_2026-09-25=2400000 S5_2026-09-25=2400000
m_000002,2027,othertrims,contactcars,official,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000002,2027,redline,contactcars,official,UNCHANGED,S4_2026-09-25,2050000,OK,S5_2026-09-25,2050000,OK,,S0_2026-09-10=2050000 S1_2026-09-25=2050000 S2_2026-09-25=2050000 S3_2026-09-25=2050000 S4_2026-09-25=2050000 S5_2026-09-25=2050000
m_000002,2027,redlinenpack,contactcars,official,UNCHANGED,S4_2026-09-25,2125000,OK,S5_2026-09-25,2125000,OK,,S0_2026-09-10=None S1_2026-09-25=2125000 S2_2026-09-25=2125000 S3_2026-09-25=2125000 S4_2026-09-25=2125000 S5_2026-09-25=2125000
m_000002,2027,shadow,contactcars,official,UNCHANGED,S4_2026-09-25,1800000,OK,S5_2026-09-25,1800000,OK,,S0_2026-09-10=1800000 S1_2026-09-25=1800000 S2_2026-09-25=1800000 S3_2026-09-25=1800000 S4_2026-09-25=1800000 S5_2026-09-25=1800000
m_000002,,blackdiamond,egycar,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000002,,blaze,egycar,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000002,,night,egycar,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000002,,nline,egycar,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000002,,redline,egycar,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000002,,redlinenline,egycar,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000002,,shadow,egycar,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000002,,blackdiamond,egycar,official,UNCHANGED,S4_2026-09-25,2300000,OK,S5_2026-09-25,2300000,OK,,S0_2026-09-10=2300000 S1_2026-09-25=2300000 S2_2026-09-25=2300000 S3_2026-09-25=2300000 S4_2026-09-25=2300000 S5_2026-09-25=2300000
m_000002,,blaze,egycar,official,UNCHANGED,S4_2026-09-25,1950000,OK,S5_2026-09-25,1950000,OK,,S0_2026-09-10=1950000 S1_2026-09-25=1950000 S2_2026-09-25=1950000 S3_2026-09-25=1950000 S4_2026-09-25=1950000 S5_2026-09-25=1950000
