model_id,model_year,trim_key,source,price_type,change,s0_value,s0_status,s1_value,s1_status,delta_egp
m_000011,2027,t6dctflagship,contactcars,market,UNCHANGED,1720000,OK,1720000,OK,
m_000011,2027,t6dctluxury,contactcars,market,UNCHANGED,1620000,OK,1620000,OK,
m_000011,2027,t6dctflagship,contactcars,official,UNCHANGED,1720000,OK,1720000,OK,
m_000011,2027,t6dctluxury,contactcars,official,UNCHANGED,1620000,OK,1620000,OK,
m_000011,2027,flagship,hatla2ee,market,NEW_IN_S1,,,,NOT_PUBLISHED,
m_000011,2027,luxury,hatla2ee,market,NEW_IN_S1,,,,NOT_PUBLISHED,
m_000011,2027,range2classes,hatla2ee,market,NOT_SEEN_IN_S1,,NOT_PUBLISHED,,,
m_000011,2027,flagship,hatla2ee,official,NEW_IN_S1,,,1720000,OK,
m_000011,2027,luxury,hatla2ee,official,NEW_IN_S1,,,1620000,OK,
m_000011,2027,range2classes,hatla2ee,official,NOT_SEEN_IN_S1,,PARSE_FAILED,,,
m_000012,2026,espiritalpine,contactcars,market,UNCHANGED,1890000,OK,1890000,OK,
m_000012,2026,evolutionfacelift,contactcars,market,UNCHANGED,1550000,OK,1550000,OK,
m_000012,2026,iconicfacelift,contactcars,market,UNCHANGED,1900000,OK,1900000,OK,
m_000012,2026,technofacelift,contactcars,market,UNCHANGED,1690000,OK,1690000,OK,
m_000012,2026,espiritalpine,contactcars,official,UNCHANGED,1890000,OK,1890000,OK,
m_000012,2026,evolutionfacelift,contactcars,official,UNCHANGED,1550000,OK,1550000,OK,
m_000012,2026,iconicfacelift,contactcars,official,UNCHANGED,1790000,OK,1790000,OK,
m_000012,2026,technofacelift,contactcars,official,UNCHANGED,1690000,OK,1690000,OK,
m_000012,2026,espritalpine,hatla2ee,market,UNCHANGED,1740000,OK,1740000,OK,
m_000012,2026,espritalpinebe,hatla2ee,market,UNCHANGED,1770000,OK,1770000,OK,
m_000012,2026,evolution,hatla2ee,market,UNCHANGED,1400000,OK,1400000,OK,
m_000012,2026,iconic,hatla2ee,market,UNCHANGED,1630000,OK,1630000,OK,
m_000012,2026,techno,hatla2ee,market,UNCHANGED,1570000,OK,1570000,OK,
m_000012,2026,espritalpine,hatla2ee,official,UNCHANGED,1740000,OK,1740000,OK,
m_000012,2026,espritalpinebe,hatla2ee,official,UNCHANGED,1770000,OK,1770000,OK,
m_000012,2026,evolution,hatla2ee,official,UNCHANGED,1400000,OK,1400000,OK,
m_000012,2026,iconic,hatla2ee,official,UNCHANGED,1630000,OK,1630000,OK,
m_000012,2026,techno,hatla2ee,official,UNCHANGED,1570000,OK,1570000,OK,
m_000013,2027,premium,contactcars,market,UNCHANGED,1680000,OK,1680000,OK,
m_000013,2027,premium,contactcars,official,UNCHANGED,1600000,OK,1600000,OK,
m_000013,2027,premium,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000013,2027,premium,hatla2ee,official,UNCHANGED,1600000,OK,1600000,OK,
m_000014,2027,allure,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000014,2027,gt,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000014,2027,allure,hatla2ee,official,UNCHANGED,2274990,OK,2274990,OK,
m_000014,2027,gt,hatla2ee,official,UNCHANGED,2574990,OK,2574990,OK,
m_000015,2026,infinityplawd,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000015,2026,inspirehl,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000015,2026,insportbl,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000015,2026,insportplusmlplus,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000015,2026,instyletl,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000015,2026,infinityplawd,hatla2ee,official,UNCHANGED,1690000,OK,1690000,OK,
m_000015,2026,inspirehl,hatla2ee,official,UNCHANGED,1550000,OK,1550000,OK,
m_000015,2026,insportbl,hatla2ee,official,UNCHANGED,1400000,OK,1400000,OK,
m_000015,2026,insportplusmlplus,hatla2ee,official,UNCHANGED,1500000,OK,1500000,OK,
m_000015,2026,instyletl,hatla2ee,official,UNCHANGED,1610000,OK,1610000,OK,
m_000016,2026,ex,contactcars,market,UNCHANGED,1360000,OK,1360000,OK,
m_000016,2026,highlineturbo,contactcars,market,UNCHANGED_NON_NUMERIC,,NOT_AVAILABLE,,NOT_AVAILABLE,
m_000016,2026,toplineturbo,contactcars,market,UNCHANGED,1625000,OK,1625000,OK,
m_000016,2026,ex,contactcars,official,UNCHANGED,1350000,OK,1350000,OK,
m_000016,2026,highlineturbo,contactcars,official,UNCHANGED,1500000,OK,1500000,OK,
m_000016,2026,toplineturbo,contactcars,official,UNCHANGED,1625000,OK,1625000,OK,
m_000016,,ex,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000016,,highlineturbo,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000016,,toplineturbo,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000016,,ex,egycar,official,UNCHANGED,1350000,OK,1350000,OK,
m_000016,,highlineturbo,egycar,official,UNCHANGED,1500000,OK,1500000,OK,
m_000016,,toplineturbo,egycar,official,UNCHANGED,1625000,OK,1625000,OK,
m_000017,2026,automticadvanced,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
