row_fingerprint,master_line,source,brand_raw,model_raw,trim_raw,model_year_raw,brand_id,model_id,method,trim_key,is_summary_row
036962517398,109,ContactCars,Renault,Kardian,Iconic,2026,renault,renault/kardian,exact_normalized,iconic,no
9c22659429d5,110,ContactCars,Renault,Megane,1.6 Dynamic,2026,renault,renault/megane,exact_normalized,16dynamic,no
bc3d1743ba4a,111,ContactCars,Renault,Megane,1.6 Signature,2026,renault,renault/megane,exact_normalized,16signature,no
c5fdfbe041f0,112,ContactCars,Renault,Megane,1.3 Turbo Signature,2026,renault,renault/megane,exact_normalized,13turbosignature,no
c2a45c4b8458,113,ContactCars,Renault,Austral,Evolution Facelift,2026,renault,renault/austral,exact_normalized,evolutionfacelift,no
60a8bf522432,114,ContactCars,Renault,Austral,Techno Facelift,2026,renault,renault/austral,exact_normalized,technofacelift,no
e4f9d0a0fc4b,115,ContactCars,Renault,Austral,Iconic Facelift,2026,renault,renault/austral,exact_normalized,iconicfacelift,no
b9a5d1655875,116,ContactCars,Renault,Austral,Espirit Alpine,2026,renault,renault/austral,exact_normalized,espiritalpine,no
0395d2a06d95,117,Hatla2ee,Renault,Taliant,Evolution,2026,renault,renault/taliant,exact_normalized,evolution,no
5aa36d8e5982,118,Hatla2ee,Renault,Taliant,Techno,2026,renault,renault/taliant,exact_normalized,techno,no
14582a5e89d4,119,Hatla2ee,Renault,Kardian,Evolution,2026,renault,renault/kardian,exact_normalized,evolution,no
38e8b595701b,120,Hatla2ee,Renault,Kardian,Techno,2026,renault,renault/kardian,exact_normalized,techno,no
7b7dd12a7390,121,Hatla2ee,Renault,Kardian,Iconic,2026,renault,renault/kardian,exact_normalized,iconic,no
84da6970b428,122,Hatla2ee,Renault,Duster,H1,2026,renault,renault/duster,exact_normalized,h1,no
f186b4691d0a,123,Hatla2ee,Renault,Duster,H2,2026,renault,renault/duster,exact_normalized,h2,no
fe11d6900f17,124,Hatla2ee,Renault,Duster,H3,2026,renault,renault/duster,exact_normalized,h3,no
9b5655deb0ed,125,Hatla2ee,Renault,Megane,Dynamic,2026,renault,renault/megane,exact_normalized,dynamic,no
bcc2358abaab,126,Hatla2ee,Renault,Megane,Signature,2026,renault,renault/megane,exact_normalized,signature,no
1775c3505782,127,Hatla2ee,Renault,Megane,Signature Turbo,2026,renault,renault/megane,exact_normalized,signatureturbo,no
f0cfff3e86fc,128,Hatla2ee,Renault,Austral,Evolution,2026,renault,renault/austral,exact_normalized,evolution,no
506588928fb5,129,Hatla2ee,Renault,Austral,Techno,2026,renault,renault/austral,exact_normalized,techno,no
789f5ec52b61,130,Hatla2ee,Renault,Austral,Iconic,2026,renault,renault/austral,exact_normalized,iconic,no
1644f16e9bc9,131,Hatla2ee,Renault,Austral,Esprit Alpine,2026,renault,renault/austral,exact_normalized,espritalpine,no
e83cfffc8a4a,132,Hatla2ee,Renault,Austral,Esprit Alpine / B/E,2026,renault,renault/austral,exact_normalized,espritalpinebe,no
651514a227c3,133,ContactCars,Hyundai,Tucson,SHADOW,2026,hyundai,hyundai/tucson,exact_normalized,shadow,no
d7b5c8938105,134,ContactCars,Hyundai,Tucson,BLAZE,2026,hyundai,hyundai/tucson,exact_normalized,blaze,no
